# videos.csv - Catálogo de vídeos do YouTube para treinamento
# Formato: id,youtube_url,speaker,emotion,language,split,notes
# 
# Instruções:
# - id: Identificador único (incremental)
# - youtube_url: URL completo do vídeo do YouTube
# - speaker: Nome/label do falante (ex: narrator1, speaker_male, etc.)
# - emotion: Tom emocional (neutral, happy, sad, angry, etc.)
# - language: Código do idioma (pt-br)
# - split: train ou val (opcional, será inferido automaticamente se vazio)
# - notes: Observações opcionais (ex: "ótima qualidade", "áudio com ruído", etc.)
#
# Exemplo:
# 1,https://www.youtube.com/watch?v=XXXXXXXXXXX,narrator1,neutral,pt-br,train,Documentário sobre história
# 2,https://www.youtube.com/watch?v=YYYYYYYYYYY,narrator1,happy,pt-br,train,Vídeo educativo animado
# 3,https://www.youtube.com/watch?v=ZZZZZZZZZZZ,speaker_male,neutral,pt-br,val,Podcast entrevista

id,youtube_url,speaker,emotion,language,split,notes
1,https://www.youtube.com/watch?v=FsO-m3sl02Y,narrator1,happy,pt-br,train,COMO EU GANHO R$ 900,00 POR SEMANA USANDO O MERCADO LIVRE - PASSO A PASSO
2,https://www.youtube.com/watch?v=zzzBOcfo_sM,narrator1,neutral,pt-br,train,O NUBANK VAI QUEBRAR? PORQUE OS BANCOS ESTÃO FALINDO?
3,https://www.youtube.com/watch?v=4hLl0w7Bn_c,narrator1,neutral,pt-br,train,O JEITO MAIS FÁCIL DE VOCÊ COMPRAR SUA CASA PRÓPRIA!
4,https://www.youtube.com/watch?v=mD-TqYYPiqU,narrator1,happy,pt-br,train,TODA A VERDADE SOBRE COMO FIQUEI RICO!
5,https://www.youtube.com/watch?v=-MvgbbC0qxw,narrator1,happy,pt-br,train,3 TIPOS DE SITES PRA VOCÊ COPIAR E COMEÇAR A LUCRAR AINDA ESSE MÊS
6,https://www.youtube.com/watch?v=yuZuRyXRqHc,narrator1,happy,pt-br,train,SEJA UM AFILIADO DO MERCADO LIVRE E LUCRE TODO DIA COM SITE PRÓPRIO SEM APARECER
7,https://www.youtube.com/watch?v=1ZpI2k88DYc,narrator1,happy,pt-br,train,ATIVE ESSAS 3 COISAS PRA BOMBAR SUAS VENDAS AINDA HOJE!
8,https://www.youtube.com/watch?v=THntEmnAyx0,narrator1,neutral,pt-br,train,20 ANOS DE YOUTUBE! O MAIOR MANUAL DE EMPREENDEDORISMO DIGITAL QUE VOCÊ NUNCA VIU
9,https://www.youtube.com/watch?v=50QVKBs0ziY,narrator1,happy,pt-br,train,SÓ EXISTE UM CAMINHO PARA FICAR RICO E ENRIQUECER RÁPIDO
10,https://www.youtube.com/watch?v=-E4yKCitV5M,narrator1,happy,pt-br,train,QUANTO UM BLOG PODE RENDER POR MÊS [VOCÊ VAI FICAR CHOCADO]
11,https://www.youtube.com/watch?v=E0C6kcus4Ew,narrator1,neutral,pt-br,train,COMO GERAR CONTEÚDO INFINITO E TRANSFORMAR SEU SITE EM UMA MÁQUINA DE LUCRO
